date,share_code,number_of_shares,domestic_cp_lt_5_raw,domestic_cp_gte_5_raw,domestic_fd_lt_5_raw,domestic_fd_gte_5_raw,domestic_ib_lt_5_raw,domestic_ib_gte_5_raw,domestic_id_lt_5_raw,domestic_id_gte_5_raw,domestic_is_lt_5_raw,domestic_is_gte_5_raw,domestic_mf_lt_5_raw,domestic_mf_gte_5_raw,domestic_ot_lt_5_raw,domestic_ot_gte_5_raw,domestic_pf_lt_5_raw,domestic_pf_gte_5_raw,domestic_sc_lt_5_raw,domestic_sc_gte_5_raw,foreign_cp_lt_5_raw,foreign_cp_gte_5_raw,foreign_fd_lt_5_raw,foreign_fd_gte_5_raw,foreign_ib_lt_5_raw,foreign_ib_gte_5_raw,foreign_id_lt_5_raw,foreign_id_gte_5_raw,foreign_is_lt_5_raw,foreign_is_gte_5_raw,foreign_mf_lt_5_raw,foreign_mf_gte_5_raw,foreign_ot_lt_5_raw,foreign_ot_gte_5_raw,foreign_pf_lt_5_raw,foreign_pf_gte_5_raw,foreign_sc_lt_5_raw,foreign_sc_gte_5_raw,total_scripless_raw
31-Mar-2026,AGRS,47.864.384.874,400.704.572,0,481,0,,,1.643.749.931,0,,,,,,,,,1.414.728.446,0,1,0,,,51.748.414,0,61.975.302,0,,,,,0,4.701.453.340,,,1.788.342,0,8.276.148.829
31-Mar-2026,AHAP,4.900.000.000,51.224.681,0,66,0,,,963.402.662,566.781.066,0,3.066.343.009,,,,,,,55.263,0,18.455,0,,,24.080.341,0,159.378.099,0,64.086.000,0,,,,,,,289.500,0,4.895.659.142
31-Mar-2026,AIMS,220.000.000,499.700,137.050.142,,,,,56.404.958,11.155.000,,,,,,,,,18.000,0,,,,,100,0,14.711.700,0,,,,,,,,,10.400,0,219.850.000
31-Mar-2026,AISA,9.311.800.000,94.093.783,6.887.852.772,160,0,,,1.622.534.726,0,169.631.429,0,3.364.513,0,8.794.665,0,4.350.400,0,1.030.897,0,320.115.702,0,,,178.291.112,0,6.515.925,0,,,,,3.036.900,0,1.927.300,0,9.632.216,0,9.311.172.500
31-Mar-2026,AKKU,6.449.463.636,3.008.215.700,2.511.350.400,6.900,0,,,635.411.536,0,,,,,,,,,664.400,0,195.389.000,0,,,23.000.100,0,850.300,0,,,,,72.535.000,0,,,2.040.300,0,6.449.463.636
31-Mar-2026,AKPI,612.248.000,29.158.827,117.054.346,,,2,0,100.120.904,0,4.000,0,17.500,0,,,,,2.122,0,33,0,,,33.968,0,768.903,0,,,,,10.000,0,34,0,94.400,0,247.265.039
31-Mar-2026,AKRA,20.073.474.600,336.254.700,3.112.617.000,26.169.225,0,5.000.000,0,868.580.085,0,818.471.600,0,448.188.160,0,888.800,0,147.434.600,0,6.963.370,0,101.632.775,0,8.217.300,0,468.300.128,0,9.904.200,0,37.043.500,0,1.907.033.063,0,1.006.591.075,0,920.573.837,0,131.982.082,0,10.361.845.500
31-Mar-2026,AKSI,720.000.000,6.486.844,0,,,,,50.374.856,0,,,,,,,,,,,,,,,626.000,0,50.500,0,,,,,,,,,300,0,57.538.500
31-Mar-2026,ALDO,2.700.713.744,146.704.148,1.810.571.784,,,,,742.684.386,0,,,,,,,,,82,0,12,0,,,752.132,0,1.200,0,,,,,,,,,,,2.700.713.744
31-Mar-2026,ALII,15.825.800.000,130.921.000,5.202.000.000,,,,,512.096.960,0,,,,,,,,,1.100.000,0,241.598.750,6.742.000.000,,,16.479.100,0,375.794.150,0,,,2.602.297.940,0,,,,,1.512.100,0,15.825.800.000
31-Mar-2026,ALKA,507.665.055,14.390.500,0,,,77.500,0,49.354.105,0,,,,,,,,,21.200,0,,,,,179.900,0,2.729.023,0,,,,,,,,,100,0,66.752.328
31-Mar-2026,ALMI,3.816.000.000,97.045.340,0,,,,,47.006.400,0,,,,,,,,,303.000,0,,,,,32.818.700,0,725.800,0,,,,,,,,,1.604.500,0,179.503.740
31-Mar-2026,ALTO,2.191.870.558,67.643.350,1.304.201.566,,,,,577.030.024,0,,,,,,,,,18.207.175,210.832.443,,,,,7.560.100,0,46.000,0,,,,,,,,,6.098.400,0,2.191.619.058
31-Mar-2026,AMAG,5.001.552.516,191.754.821,0,,,0,388.000.000,34.366.596,0,55.806.100,0,,,,,210.019.533,0,23.887.500,0,5.413.700,0,,,2.813.400,0,7.819.900,0,,,2.066.800,0,100.000,0,,,78.195.000,0,1.000.243.350
31-Mar-2026,AMAN,3.873.500.000,100,0,,,,,571.076.800,0,,,,,,,,,157.400,0,3.207.800,0,,,9.015.300,0,1.000,0,,,,,,,,,1.541.600,0,585.000.000
31-Mar-2026,AMAR,18.381.094.760,58.799.372,1.210.726.588,176,0,367.421.455,0,430.064.838,0,,,,,,,,,451,0,3.562.185,14.867.769.159,,,116.477.814,1.086.653.690,3.244.239,0,,,21.391.898,0,821.275,0,,,30.350.620,0,18.197.283.760
31-Mar-2026,AMFG,434.000.000,13.621.282,0,,,,,35.117.400,0,23.500,0,28.600,0,,,,,35.076,0,21.574.583,0,76.900,0,1.454.100,0,383.200,0,114.800,0,145.300,0,217.400,0,162.700,0,12.584.659,0,85.539.500
31-Mar-2026,AMIN,1.080.000.000,,,,,,,71.575.000,0,,,,,,,,,,,17.438.300,0,,,2.900.600,0,135.964.500,109.200.000,,,,,,,,,12.121.600,0,349.200.000
31-Mar-2026,AMMN,72.518.217.656,5.400.088.973,54.053.761.778,2.883.400,0,,,1.012.130.014,0,222.189.300,0,150.391.932,0,300.000,0,22.902.700,0,195.652.035,0,2.306.927.767,3.871.783.968,4.548.700,0,881.457.194,0,194.049.671,0,64.057.947,0,2.500.743.215,0,857.308.934,0,531.730.618,0,245.309.510,0,72.518.217.656
31-Mar-2026,AMMS,1.235.296.802,62.918.743,297.706.588,38,0,,,241.865.025,0,,,,,,,,,179,0,0,630.001.529,,,1.363.200,0,499.500,0,,,,,,,,,942.000,0,1.235.296.802
